validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss
,,,,,,,,,,,18,607,0.06912807375192642,0.16401776671409607,0.9536767601966858,1.0018864870071411,-126.1412582397461,-46.67554473876953,47.67973709106445
0.06866990774869919,0.1617354303598404,0.953482985496521,1.0010796785354614,-125.39942169189453,-48.55628204345703,49.55928421020508,0.06863720715045929,0.16171880066394806,0.26198703050613403,0.4021427631378174,19,639,,,,,,,
,,,,,,,,,,,19,639,0.0691259503364563,0.16371239721775055,0.9536967277526855,1.0018739700317383,-125.2710189819336,-46.601932525634766,47.60525131225586
0.06872109323740005,0.16315197944641113,0.9535036087036133,1.0021321773529053,-124.55543518066406,-48.55143356323242,49.55406951904297,0.06868889182806015,0.16309040784835815,0.2620856463909149,0.40384453535079956,20,671,,,,,,,
,,,,,,,,,,,20,671,0.06915808469057083,0.16136372089385986,0.9537235498428345,1.0008785724639893,-124.79061889648438,-46.53689193725586,47.539310455322266
0.06872564554214478,0.16132038831710815,0.9535072445869446,1.0009119510650635,-123.44351196289062,-48.51569747924805,49.51668167114258,0.06869111210107803,0.16128389537334442,0.26208987832069397,0.4016016721725464,21,703,,,,,,,
,,,,,,,,,,,21,703,0.06915389746427536,0.1608123779296875,0.9537143111228943,1.0006721019744873,-123.93781280517578,-46.48674774169922,47.48820495605469
0.06895117461681366,0.1628277450799942,0.9536221623420715,1.0016710758209229,-122.5534896850586,-48.507598876953125,49.50807189941406,0.06891696155071259,0.16280658543109894,0.2625204026699066,0.4034929871559143,22,735,,,,,,,
,,,,,,,,,,,22,735,0.0692497193813324,0.1618639975786209,0.9537720084190369,1.001194715499878,-123.0101089477539,-46.43461608886719,47.435401916503906
0.0687999352812767,0.15873949229717255,0.9535561800003052,0.9998639225959778,-121.53397369384766,-48.48878479003906,49.48740768432617,0.06876648217439651,0.15870919823646545,0.2622336447238922,0.398383229970932,23,767,,,,,,,
,,,,,,,,,,,23,767,0.06916429102420807,0.1613435000181198,0.9537301063537598,1.0008907318115234,-121.89198303222656,-46.392486572265625,47.392005920410156
0.06894123554229736,0.16187123954296112,0.9536439180374146,1.0013015270233154,-121.01296997070312,-48.48885726928711,49.487640380859375,0.06891002506017685,0.16185055673122406,0.26250720024108887,0.40230655670166016,24,799,,,,,,,
,,,,,,,,,,,24,799,0.06905157119035721,0.15828946232795715,0.9536834955215454,0.9995914697647095,-120.9807357788086,-46.350616455078125,47.34859848022461
