validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_step/linear_loss,validation_step/linear_accuracy,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,validation_epoch_metrics/avg_linear_accuracy,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss,training_step/linear_loss,training_step/linear_accuracy
0.06809178739786148,0.16216446459293365,0.9531789422035217,1.0010133981704712,-129.17202758789062,-48.7119026184082,49.718505859375,1.9343876838684082,0.3373025059700012,0.0680597797036171,0.16208867728710175,0.260882705450058,0.4026023745536804,0.33654022216796875,15,511,,,,,,,,,
,,,,,,,,,,,,,,15,511,0.06826727837324142,0.16228614747524261,0.9532412886619568,1.0008671283721924,-129.74703979492188,-47.11643981933594,48.12358093261719,1.9196441173553467,0.34517908096313477
0.06841915100812912,0.16358539462089539,0.9533326625823975,1.0015103816986084,-127.58322143554688,-48.67619323730469,49.68150329589844,1.9378547668457031,0.3335495591163635,0.06838811933994293,0.16356593370437622,0.2615112364292145,0.40443286299705505,0.33286863565444946,16,543,,,,,,,,,
,,,,,,,,,,,,,,16,543,0.06831502914428711,0.16196197271347046,0.9532787203788757,1.0007858276367188,-128.517333984375,-47.00343322753906,48.009315490722656,1.9178823232650757,0.3443296551704407
0.0682128518819809,0.16012321412563324,0.9532352089881897,1.0001572370529175,-127.95661926269531,-48.632835388183594,49.63786315917969,1.9153587818145752,0.3420284390449524,0.06818056106567383,0.1600380390882492,0.26111409068107605,0.40004754066467285,0.34114396572113037,17,575,,,,,,,,,
,,,,,,,,,,,,,,17,575,0.06829420477151871,0.16081471741199493,0.9532762765884399,1.000305414199829,-127.67144775390625,-46.886173248291016,47.89100646972656,1.9139503240585327,0.34774282574653625
0.06804552674293518,0.1592663824558258,0.9531654715538025,0.9995669722557068,-126.031494140625,-48.58821105957031,49.591026306152344,1.944295048713684,0.32775795459747314,0.06801529973745346,0.15921567380428314,0.2607974410057068,0.39901837706565857,0.32743406295776367,18,607,,,,,,,,,
,,,,,,,,,,,,,,18,607,0.06834407150745392,0.16005168855190277,0.9533200860023499,1.000048041343689,-126.81980895996094,-46.8016242980957,47.805511474609375,1.9107515811920166,0.3459358513355255
0.06832832098007202,0.1593809872865677,0.9533209800720215,0.9998201131820679,-125.00755310058594,-48.5792236328125,49.5811882019043,1.9314409494400024,0.3321595788002014,0.0682971328496933,0.15933336317539215,0.26133719086647034,0.3991658389568329,0.3313087522983551,19,639,,,,,,,,,
,,,,,,,,,,,,,,19,639,0.06832379847764969,0.15846498310565948,0.9533227682113647,0.999305009841919,-125.62619018554688,-46.7199592590332,47.72231674194336,1.908097743988037,0.34689339995384216
0.06848902255296707,0.16081632673740387,0.9534256458282471,1.0007226467132568,-123.03734588623047,-48.58479309082031,49.58524703979492,1.9000636339187622,0.3399898111820221,0.06845611333847046,0.1607624590396881,0.2616412043571472,0.40095195174217224,0.3390387296676636,20,671,,,,,,,,,
,,,,,,,,,,,,,,20,671,0.06856178492307663,0.1613771915435791,0.9534468650817871,1.0008186101913452,-124.08141326904297,-46.653358459472656,47.65488815307617,1.9127922058105469,0.3401133716106415
0.06817734241485596,0.15801092982292175,0.9532561302185059,0.9994698166847229,-121.91580200195312,-48.54106140136719,49.53975296020508,1.93024480342865,0.3311402499675751,0.06814631074666977,0.15793314576148987,0.26104849576950073,0.39740803837776184,0.3304082453250885,21,703,,,,,,,,,
,,,,,,,,,,,,,,21,703,0.06847680360078812,0.15848198533058167,0.9533817768096924,0.9993026852607727,-122.3983383178711,-46.59642028808594,47.5955810546875,1.9090440273284912,0.3419512212276459
0.06843581050634384,0.16376160085201263,0.9534059762954712,1.001967430114746,-121.10098266601562,-48.499717712402344,49.4987907409668,1.967854619026184,0.31622108817100525,0.06840554624795914,0.16375523805618286,0.26154452562332153,0.40466681122779846,0.3154684007167816,22,735,,,,,,,,,
,,,,,,,,,,,,,,22,735,0.06848058849573135,0.15758956968784332,0.9534220099449158,0.9991087913513184,-121.32762145996094,-46.52973937988281,47.52775573730469,1.9040186405181885,0.3440670967102051
0.06821370869874954,0.15628446638584137,0.9532793164253235,0.9987111687660217,-120.81031036376953,-48.50328826904297,49.500545501708984,1.919917106628418,0.32808229327201843,0.06818090379238129,0.15620754659175873,0.2611147463321686,0.3952310085296631,0.326984167098999,23,767,,,,,,,,,
,,,,,,,,,,,,,,23,767,0.06842419505119324,0.15606021881103516,0.953392744064331,0.998405396938324,-121.06947326660156,-46.476043701171875,47.47346496582031,1.8971582651138306,0.34398987889289856
0.06919094175100327,0.17004577815532684,0.9537911415100098,1.0050541162490845,-119.560791015625,-48.47562026977539,49.474700927734375,1.9821772575378418,0.3111245036125183,0.0691642314195633,0.17003720998764038,0.26299092173576355,0.4123556911945343,0.31035739183425903,24,799,,,,,,,,,
,,,,,,,,,,,,,,24,799,0.06833868473768234,0.15491919219493866,0.9533479809761047,0.9979096055030823,-120.0546646118164,-46.43518829345703,47.43136215209961,1.8933296203613281,0.3464609384536743
